table_name,column_name,data_type,is_nullable,column_default
users,restrict_to_visit_day,boolean,YES,true
users,device_id,text,YES,null
users,active_warehouse_role,text,YES,null
vehicle_tracking,id,uuid,NO,gen_random_uuid()
vehicle_tracking,vehicle_id,uuid,YES,null
vehicle_tracking,driver_id,uuid,YES,null
vehicle_tracking,runsheet_code,character varying,YES,null
vehicle_tracking,meter_reading,integer,NO,null
vehicle_tracking,meter_photo_url,text,YES,null
vehicle_tracking,tracking_date,date,YES,CURRENT_DATE
vehicle_tracking,created_at,timestamp with time zone,YES,now()
vehicle_tracking,company_id,uuid,YES,'00000000-0000-0000-0000-000000000001'::uuid
vehicles,id,uuid,NO,gen_random_uuid()
vehicles,company_id,uuid,NO,null
vehicles,vehicle_code,character varying,NO,null
vehicles,model,character varying,YES,null
vehicles,license_plate,character varying,NO,null
vehicles,driver_id,uuid,YES,null
vehicles,max_weight_kg,numeric,YES,null
vehicles,max_volume_m3,numeric,YES,null
vehicles,min_trip_value,numeric,YES,null
vehicles,status,character varying,YES,'Active'::character varying
vehicles,notes,text,YES,null
vehicles,created_at,timestamp with time zone,YES,now()
vehicles,updated_at,timestamp with time zone,YES,now()
work_order_details,id,uuid,NO,gen_random_uuid()
work_order_details,work_order_code,text,NO,null
work_order_details,item_code,text,YES,null
work_order_details,item_name,text,YES,null
work_order_details,qty,numeric,YES,0
work_order_details,unit,text,YES,'حبة'::text
work_order_details,notes,text,YES,null
work_orders,id,uuid,NO,gen_random_uuid()
work_orders,order_code,text,NO,null
work_orders,order_date,date,NO,null
work_orders,customer_id,text,YES,null
work_orders,customer_name,text,YES,null
work_orders,description,text,YES,null
work_orders,status,text,YES,'Draft'::text
work_orders,priority,text,YES,'Normal'::text
work_orders,assigned_to,text,YES,null
work_orders,started_at,timestamp with time zone,YES,null
work_orders,completed_at,timestamp with time zone,YES,null
work_orders,created_by,text,YES,null
work_orders,created_at,timestamp with time zone,YES,now()
workflow_log,id,uuid,NO,gen_random_uuid()
workflow_log,rule_id,uuid,YES,null
workflow_log,trigger_record_id,text,YES,null
workflow_log,trigger_data,jsonb,YES,null
workflow_log,actions_executed,jsonb,YES,null
workflow_log,status,text,YES,'success'::text
workflow_log,executed_at,timestamp with time zone,YES,now()
workflow_rules,id,uuid,NO,gen_random_uuid()
workflow_rules,name,text,NO,null
workflow_rules,trigger_table,text,NO,null
workflow_rules,trigger_event,text,NO,null
workflow_rules,trigger_condition,jsonb,YES,null
workflow_rules,actions,jsonb,NO,null
workflow_rules,is_active,boolean,YES,true
workflow_rules,created_at,timestamp with time zone,YES,now()
workflows,id,uuid,NO,gen_random_uuid()
workflows,workflow_code,text,NO,null
workflows,workflow_name,text,NO,null
workflows,entity_type,text,YES,null
workflows,steps,jsonb,YES,'[]'::jsonb
workflows,is_active,boolean,YES,true
workflows,created_at,timestamp with time zone,YES,now()
